Matrícula,Nome,Sindicato,Dias Úteis,Valor do VR,Valor Total,Valor Empresa (80%),Valor Descontado (20%),Status
31715,ASSISTENTE DE BPO II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
32532,ASSISTENTE DE BPO II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
33970,ASSISTENTE DE BPO II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
34265,ASSISTENTE DE BPO II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
32577,ASSISTENTE DE BPO II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
33955,ASSISTENTE DE BPO II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
33967,ASSISTENTE DE BPO II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
32264,ASSISTENTE DE BPO III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
32690,ASSISTENTE DE BPO III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
33524,ASSISTENTE DE BPO III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
31139,DESENVOLVEDOR I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35720,DESENVOLVEDOR III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
26497,AGILE COACH I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
34851,AGILE MASTER,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35521,DESIGNER UX/UI II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35563,DESIGNER UX/UI II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
28849,DESENVOLVEDOR III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
33669,ANALISTA DE QUALIDADE DE SOFTWARE II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
31385,ARQUITETO DE SOFTWARE III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
31407,DESENVOLVEDOR II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
33691,DESENVOLVEDOR III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
34855,ARQUITETO DE SOLUCOES III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
27701,DESENVOLVEDOR II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
33715,ANALISTA DE QUALIDADE DE SOFTWARE I,Rio Grande do Sul,16,35.0,560.0,448.0,112.0,Elegível
33391,DESENVOLVEDOR I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
31035,ANALISTA DE PROCESSOS III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
27041,ANALISTA DE PMO II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
32552,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
30280,LIDER DE BPO,Rio Grande do Sul,16,35.0,560.0,448.0,112.0,Elegível
33042,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
34258,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
34633,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35034,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35280,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35380,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35397,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35477,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35649,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35650,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
33637,LIDER DE BPO,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
32539,ASSISTENTE DE BPO II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
34444,ASSISTENTE DE BPO II,Rio Grande do Sul,16,35.0,560.0,448.0,112.0,Elegível
26705,DESENVOLVEDOR III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
27088,DESENVOLVEDOR III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
29043,ANALISTA DEVSECOPS III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
26681,ANALISTA DE SUPORTE II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
31071,ANALISTA DE SUPORTE II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
29359,ANALISTA DE SUPORTE III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
31010,AGILE COACH I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
31143,LIDER DE BPO,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
33679,ANALISTA DE QUALIDADE DE SOFTWARE II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
